R,G,B,x,y
0.12,0.69,0.86,405.83,289.16
0.63,0.44,0.09,90.1,350.77
0.17,0.73,0.61,352.62,287.23
0.29,0.59,0.61,341.47,248.59
0.63,0.16,0.63,319.83,138.62
0.87,0.1,0.14,242.07,148.49
0.55,0.79,0.12,286.1,383.25
0.16,0.38,0.77,375.92,232.16
0.55,0.84,0.12,295.22,330.82
0.89,0.18,0.1,205.01,154.38
0.12,0.47,0.85,421.29,253.93
0.11,0.76,0.61,377.32,352.95
0.71,0.16,0.6,299.44,116.19
0.72,0.71,0.2,294.88,257.95
0.64,0.77,0.23,302.34,271.82
0.43,0.14,0.64,374.11,139.15
0.13,0.5,0.8,380.9,248.92
0.83,0.08,0.11,192.47,90.45
0.85,0.52,0.11,203.61,267.03
0.19,0.8,0.37,337.79,335.86
0.37,0.28,0.06,28.77,390.05
0.84,0.69,0.12,270.97,264.55
0.8,0.19,0.28,287.47,189.48
0.86,0.79,0.09,222.65,353.72
0.13,0.42,0.84,436.33,247.76
0.13,0.45,0.83,402.39,246.94
0.32,0.15,0.64,380.93,168.64
0.2,0.79,0.4,339.85,320.67
0.21,0.23,0.72,381.59,207.33
0.28,0.58,0.63,343.73,247.43
0.12,0.72,0.85,419.96,311.04
0.33,0.12,0.59,403.54,131.27
0.7,0.84,0.08,272.73,344.92
0.81,0.43,0.11,162.18,252.21
0.12,0.55,0.85,479.88,286.04
0.12,0.64,0.88,427.37,285.75
0.42,0.24,0.07,32.1,286.19
0.86,0.56,0.11,207.87,274.5
0.32,0.81,0.25,321.7,327.45
0.16,0.35,0.81,467.01,227.95
0.19,0.15,0.65,408.07,186.69
0.72,0.2,0.39,302.26,189.21
0.34,0.53,0.07,278.31,443.94
0.86,0.59,0.12,195.69,285.25
0.18,0.21,0.71,398.19,205.31
0.55,0.83,0.12,290.31,360.87
0,0,0,680.48,335.32
0.11,0.65,0.86,443.65,305.54
0.11,0.67,0.81,383.22,276.32
0.85,0.08,0.13,213.61,105.64
0.84,0.08,0.19,234.1,110.14
0.81,0.12,0.4,268.56,119.11
0.18,0.39,0.76,372.1,231.03
0.12,0.51,0.82,390.03,253.72
0.55,0.17,0.63,328.97,66.38
0.89,0.75,0.11,217.51,320.69
0.76,0.39,0.1,138.62,256.72
0.11,0.7,0.78,381.23,288.23
0.18,0.8,0.37,338.67,341.2
0.33,0.81,0.31,325.26,312.64
0.33,0.16,0.68,495.48,97.21
0.6,0.17,0.66,328.72,118.63
0.54,0.85,0.18,302.86,312.16
0.16,0.31,0.76,384.81,224.07
0.83,0.71,0.12,275.49,264.87
0.7,0.6,0.28,301.19,240.42
0.74,0.14,0.51,280.68,100.97
0.02,0.09,0.17,640.62,328.27
0.73,0.81,0.13,287.57,288.04
0.48,0.18,0.05,52.02,206.62
0.75,0.69,0.18,291.32,255.69
0.12,0.49,0.82,493.76,275.85
0.88,0.75,0.1,238.41,308.72
0.17,0.25,0.72,498.92,199.25
0.23,0.12,0.59,412.66,161.93
0.23,0.31,0.74,369.29,217.71
0.88,0.65,0.11,232.86,283.81
0.49,0.82,0.14,296.54,366.48
0.86,0.3,0.1,180.8,189.93
0.87,0.53,0.12,261.43,240.89
0.85,0.61,0.13,169.96,302.96
0.32,0.77,0.2,314.97,383.45
0.77,0.34,0.28,293.73,211.35
0.16,0.3,0.76,491.23,215.2
0.86,0.19,0.1,254.15,194.92
0.32,0.41,0.69,349.11,225.19
0.75,0.5,0.27,296.54,228.77
0.8,0.07,0.13,207.67,86.01
0.7,0.63,0.26,300.43,245
0.75,0.38,0.31,297.34,214.75
0.58,0.36,0.08,78.43,311.7
0.21,0.54,0.71,355.52,246.99
0.18,0.19,0.69,476.19,179.66
0.63,0.6,0.08,178.86,424.27
0.86,0.78,0.08,241.25,327.26
0.39,0.13,0.58,396.79,107.29
0.06,0.53,0.24,364.95,424.48
0.79,0.52,0.21,287.98,232.41
0.88,0.73,0.1,244.44,295.62
0.47,0.15,0.65,366.53,131.61
0.68,0.67,0.25,300.67,251.14
0.87,0.62,0.11,239.99,272.97
0.78,0.53,0.12,136.52,303.1
0.85,0.16,0.07,233.95,186.25
0.13,0.38,0.82,417.41,238.92
0.42,0.17,0.65,353.36,176.45
0.86,0.2,0.09,249.12,198.68
0.85,0.23,0.08,206.37,192.38
0.17,0.28,0.76,488.61,210.07
0.12,0.76,0.81,396.85,315.25
0.26,0.12,0.59,436.8,127.24
0.42,0.15,0.64,361.83,157.54
0.58,0.27,0.07,78.55,245.01
0.17,0.23,0.73,483.48,195.21
0.13,0.32,0.71,527.48,239.65
0.13,0.54,0.86,472.93,273.1
0.27,0.69,0.54,339.13,268.6
0.82,0.29,0.1,142.93,177.48
0.83,0.36,0.1,176.87,226.87
0.33,0.12,0.57,459.25,71.53
0.12,0.71,0.86,417.01,304.3
0.84,0.32,0.09,218.38,224.51
0.1,0.69,0.69,414.49,360.51
0.84,0.53,0.15,276.43,235.25
0.11,0.72,0.69,403.93,354.55
0.5,0.16,0.58,327.27,46.39
0.15,0.36,0.79,495.19,235.15
0.9,0.25,0.11,182.91,158.59
0.12,0.67,0.88,428.17,293.82
0.12,0.71,0.84,396.28,291.98
0.12,0.55,0.81,381.2,255.88
0.14,0.44,0.83,483.22,251.85
0.11,0.69,0.8,382.97,282.53
0.75,0.32,0.09,133.97,234.74
0.88,0.78,0.11,209.65,346.38
0.28,0.14,0.63,389.99,171.28
0.84,0.77,0.1,266.15,290.8
0.38,0.14,0.63,378.92,150.55
0.56,0.55,0.07,197.69,439.75
0.32,0.6,0.58,338.19,248.6
0.89,0.26,0.12,166.05,151.01
0.13,0.35,0.79,404.2,233.08
0.12,0.6,0.88,423.41,275.03
0.8,0.11,0.38,261.77,106.83
0.21,0.15,0.65,465.96,155.49
0.57,0.83,0.11,287.77,358.31
0.13,0.49,0.85,477.29,263.25
0.88,0.63,0.11,221.19,286.11
0.46,0.82,0.3,316.55,293.68
0.13,0.5,0.84,484.98,268.05
0.82,0.53,0.12,162.58,278.68
0.33,0.19,0.68,369.37,186.63
0.21,0.78,0.45,342.07,310.05
0.86,0.37,0.1,246.46,225.8
0.68,0.51,0.34,305.38,229.13
0.21,0.18,0.68,390.97,195.42
0.26,0.7,0.54,340.08,270.49
0.86,0.54,0.11,211.42,271.68
0.33,0.21,0.05,21.49,326.4
0.84,0.56,0.12,176.63,281.76
0.11,0.73,0.68,370.36,302.6
0.83,0.48,0.12,172.04,262.54
0.1,0.66,0.8,435.9,332.5
0.88,0.13,0.09,224.91,162.07
0.12,0.53,0.87,434.69,267.24
0.86,0.63,0.12,264.32,257.17
0.88,0.63,0.11,233.51,279.72
0.73,0.17,0.07,109.5,129.87
0.54,0.84,0.12,295.33,334.29
0.86,0.12,0.11,180.73,101.69
0.86,0.32,0.11,165.75,186.99
0.33,0.78,0.4,329.61,290.79
0.27,0.79,0.39,333.69,308.13
0.14,0.34,0.75,514.68,234.94
