R,G,B,x,y
188.63,34.596,39.037,406.92,102.98
208.73,202.16,173.76,367.06,238.49
255,255,255,251.84,249.63
235,219.55,219.1,314.64,180.63
175.07,173.01,121.85,388.35,201.82
201.4,181.41,168.78,199.97,150.93
204.63,204.89,191.12,258.06,155.7
253.27,252.15,251.49,300.38,211.74
132.81,162.71,108.07,401.51,206.15
53.478,146.67,83.193,443.44,200.07
193.77,110.07,101.47,396.29,407.85
235.22,226.39,189.98,293.47,380.98
211.34,175.69,154.91,180.16,189.65
188,39.54,125.21,493.53,330.76
196.69,184.27,146.79,365.88,221.92
217.13,220.5,219.21,182.96,243.15
233.92,223.74,220.2,218.38,197.46
186.2,145.28,69.134,450.79,167.3
213.51,129.25,125.51,361.78,124.82
234.2,195.37,177.85,173.56,329.23
232.85,179.36,169.87,198.3,335.83
255,255,255,261.8,226
147.78,107.47,104.94,614.57,283.64
116.25,164.23,181.27,384.64,364.64
162.05,112.25,109.29,601.02,282.55
229.98,207.07,204.17,198.32,213.98
230.18,197.94,174.05,228.75,366.04
141.31,160.22,100.31,403.2,199.87
253.2,253.22,253.15,247.97,199.13
229.97,182.12,169.54,182.74,319.35
30.752,98.071,88.377,66.165,282.05
243.88,231.34,228.69,242.39,314.53
192.36,198.74,185.37,163.52,257.82
232.54,209.73,207.3,202.38,213.06
214.77,213.6,219.5,336.64,312.41
227.8,208.75,206.03,324.77,178.29
217.67,180.67,148.75,155.78,304.92
207.82,181.11,164.85,188.19,184.36
249.65,249.48,245.91,306.88,216.62
149.98,192.83,201.11,378.58,350.64
123.29,31.054,27.251,461.91,271.2
209.9,210.98,211.16,227.14,179.23
255,255,255,279.25,215.38
228.67,226.67,215.43,308.01,328.52
15.602,93.676,49.731,629.05,168.51
234.81,210.92,210.6,234.1,322.63
191.66,204.42,186.73,215.65,114.26
144.44,53.712,44.959,431.3,268.55
211.72,197.39,165.31,356.98,213.07
223.76,198.72,186.86,365.28,276.41
250.17,250.19,246.47,307.27,228.67
143.27,96.138,73.325,418.69,251.19
72.308,123.12,75.081,423.5,227.41
255,255,255,245.51,278.2
230.26,197.76,194.04,233.3,332.36
254.22,253.82,253.82,307.17,279.59
242.07,234.59,208.42,290.3,334
254.99,254.99,255,299.52,279.13
0,0,0,-53.004,207.01
220.65,221.39,228.8,331.14,303.64
228.56,229.55,220.81,326.02,251.28
240.44,235.65,205.49,280.8,341.65
198.69,182.84,181.12,328.59,149.02
248.19,248.16,243.3,308.84,219.07
210.19,208.17,194.24,320.98,335.87
234.69,220.79,222.43,308.15,178.11
200.71,208.05,200.98,247.84,161.96
186.15,185.5,174.43,239.57,148.34
234.11,217.88,178.31,302.65,369.69
227.46,233.85,222.41,330.34,238.65
211.49,202.68,185.9,179.29,282.14
196.36,169.91,161.62,333.59,130.39
207.46,160.24,183.21,555.11,305.76
152.18,160.96,131.28,132.7,288.96
255,255,255,268.26,233.51
160.42,128.93,127.88,380.5,383.53
255,255,255,247.73,234.5
160.41,111.62,152.33,489.27,357.63
118.48,101.25,116.64,121.23,100.48
212.28,217.12,212.48,174.92,249.44
255,255,255,291.74,236.54
254.73,254.82,254.72,301.34,246.01
230.26,168.7,86.567,396.55,168.48
147.78,123.42,117.07,157.59,130.8
131.07,35.208,29.998,484.01,257.29
199.76,191.41,160.26,357.21,226.7
111.09,142.97,71.502,435.34,187.96
235.06,193.72,168.68,203.74,359.03
171.71,234,226.63,237.92,64.94
253.93,253.96,253.76,287.5,194.98
225.61,204.62,193.66,360.12,274.31
128.21,29.006,24.037,476.7,259.78
240.97,232.75,226.99,250.38,318.42
200.9,216.21,194.9,245.25,97.358
202.03,178,178.93,312.82,156.96
207.49,179.58,150.59,263.83,130.11
