R,G,B,x,y
214.63,167.7,164.22,419.56,287.2
253.02,246.87,246.71,504.32,339.85
226.75,117.38,79.346,229.06,98.36
187.33,172.33,45.246,437.16,22.415
197.95,170.37,154.89,429.76,266.44
221.92,121.48,126.87,244.56,204.1
254.94,114.78,114.65,219.16,176.89
218.05,212.78,229.69,298.79,345.75
87.014,148.66,122.87,347.44,195.2
232.3,111.01,133.11,204.91,218.05
139.41,190.39,108.21,465.44,102.61
221.34,219.83,164.13,488.88,67.669
226.26,94.372,103.47,141.98,152.03
163.7,123.58,143.94,2.2166,123.03
200.7,96.63,135.56,150.43,223.44
146.25,135.7,143.31,298.21,240.67
255,255,255,61.55,370.76
123.47,172.13,98.552,436.41,141.17
85.82,70.648,76.888,52.062,92.854
126.45,74.102,138.66,65.014,230.3
134.9,77.394,136.96,77.564,226.5
226.95,144.47,209.31,-4.8211,309.37
75.8,134.45,41.6,293.56,14.325
177.14,117.69,60.656,230.19,56.807
123.22,90.219,159.21,126.28,276.1
172.1,166.74,203.3,264.79,329.69
124.65,142.75,151.01,325.14,257.86
254.96,254.94,254.97,109.84,363.8
180.46,99.733,40.975,162.23,12.932
67.38,70.395,117.79,51.161,183.96
118.08,126.89,189.19,183.43,321.66
186.38,161.88,174.14,-10.584,109.79
160.95,130.6,199.24,111.78,327.39
130.32,139.08,99.76,311.24,143.82
143.25,89.897,59.558,124.88,54.318
218.11,109.64,148.9,199.62,253.06
104.58,164.2,93.996,406.35,130.89
255,255,255,73.064,369.52
61.2,151.87,110.22,359.75,167.12
160.15,143.37,179.09,315.27,316.15
141.11,145.82,165.47,336.75,290.04
185.4,159.34,183.24,358.66,318.41
143.27,136.84,63.229,302.68,62.564
194.33,188.06,213.85,296.26,335.94
124.44,66.733,48.621,37.251,29.961
143.79,101.9,109.54,9.5956,79.586
159.49,153.32,36.312,365.13,2.5659
82.943,133.2,45.685,288.86,23.419
210.34,101.59,193.31,31.544,324.01
114.02,142.91,141.26,325.69,236.09
187.19,137.45,204.34,91.831,330.35
133.34,90.419,45.423,126.95,22.847
255,106.6,104.6,188.12,154.52
69.265,70.197,114.87,50.376,177.39
170.94,127.03,184.11,220.33,318.85
182.84,170.22,70.327,429.28,78.345
253.03,253.03,253.03,433.68,375.96
158.82,79.473,169.47,85.43,298.93
159.56,144.98,61.525,333.68,58.78
191.25,100.45,37.071,164.93,4.2225
134.85,65.916,59.737,34.1,54.709
48.814,98.056,173.71,155.97,308.41
191.46,96.523,76.933,150.01,92.936
174.58,196.5,204.15,423.7,330.19
234.14,117.75,126.25,230.44,202.74
127.65,147.22,201.95,171.39,328.9
218.62,112.11,74.065,209.09,86.639
129.03,132.13,158.72,284.86,275
157.13,135.34,146.11,-1.699,93.977
96.013,152.45,89.815,361.93,121.64
181.17,141.26,134.19,-3.6921,27.195
71.494,145.54,110.92,335.72,168.7
240.72,189.88,230.76,11.02,342.92
193.03,107.16,59.231,190.37,53.666
223.58,120.1,127.87,239.31,206.3
156.07,134.85,89.748,295.05,121.4
142,182.48,144.61,459.49,227.55
190.73,100.62,38.081,165.62,6.5576
182.6,86.827,117.9,113.18,184.15
153.56,163.24,179.86,389.4,316.57
107.4,160.99,87.037,394.15,115.42
193.97,93.973,146.14,140.41,246.94
244.88,250.28,242.77,515.25,87.019
57.101,148.79,107.15,347.96,160.22
209.02,127.17,130.9,265.92,213.06
86.556,149.1,91.519,349.16,125.48
180.75,98.019,149.47,155.73,254.31
188.48,132.23,128.21,285.2,207.13
160.57,208.72,160.25,479.84,149.6
147.28,138.8,64.398,310.17,65.143
105.24,76.002,54.11,72.231,42.263
194.44,167.62,209.56,209.5,333.38
228.01,119.9,89.071,238.62,119.96
174.59,149.46,188.07,-6.4466,212.86
149.6,137.76,65.042,306.12,66.565
176.74,84.573,138.98,104.63,230.99
112.86,141.68,114.04,321.01,175.66
238,238,238,196.57,378.75
187.43,91.147,81.6,129.75,103.29
222.62,122.39,123.41,247.89,196.42
124.94,164.83,133.4,408.75,218.61
80.554,69.134,83.021,46.377,106.58
195.97,93.005,145.01,136.85,244.48
120.98,66.85,135.76,37.686,223.93
149.67,147.31,48.392,342.29,29.411
245.12,104.22,85.062,179.16,111.07
91.831,90.578,167.07,127.58,293.59
71.606,72.003,117.45,57.175,183.17
98.994,112.26,180.94,181.66,317.17
114.82,140.98,198.93,167.9,327.22
217.59,165.82,219.23,61.697,339.27
229.78,208.54,236.14,93.185,349.9
232.86,108.51,132.36,195.39,216.3
229.05,234.05,245.81,153.26,356.38
126.22,158.02,126.82,382.91,204.05
123.48,78.598,119.62,82.148,188.08
139.42,82.183,82.408,95.673,105.13
88.995,139.57,47.127,313.04,26.632
243.15,106.92,124.9,189.36,199.77
178.91,202.38,144.05,474.79,136.36
254.51,254.7,254.75,449.57,362.82
196.25,90.837,187.29,42.414,320.66
216.03,123.03,86.275,250.33,113.7
146.08,83.883,76.083,102.04,90.985
134.69,73.57,42.365,63.051,16.067
82.479,73.744,117.03,63.735,182.23
211.91,174.04,51.585,443.58,36.655
190.75,105.71,65.5,184.75,67.497
79.831,91.953,167.73,132.88,295.1
217.42,112.14,195.17,6.1484,308.35
112.42,140.17,105.96,315.31,157.62
134.55,69.188,43.021,46.556,17.547
211.99,220.66,223.7,449.88,341.98
142.44,71.977,39.808,57.064,10.338
152.87,173.34,150.06,440.91,255.63
84.674,157.09,96.36,379.47,136.26
255,255,255,78.273,370.36
150.38,181.43,100.87,458.7,128.64
255,255,255,-5.2594,374.96
191.87,185.35,58.083,461.67,4.9423
255,255,255,185.5,372.68
71.588,154.91,111.54,371.18,170.05
166.25,95.461,37.737,146,5.7386
233.42,116.85,81.448,227.06,103.07
237.08,149.69,213.92,4.5231,326.21
122.31,156.93,128.14,378.7,206.9
176.17,116.8,59.669,226.79,54.635
186.91,86.839,97.571,113.35,138.92
117.82,124.99,169.2,257.75,298.29
248.4,197.86,233.53,-7.597,335.93
